Ship's name;Society's name;Type;Ship's code;E-Mail;Phone Number;Number of passengers
Delphin;Hansa Kreuzfahrten GmbH;Cat. 2;C6VV2;msdelphin@delphin-cruises.com;4 751 407 395;211
Discovery;Voyages of Discovery;Cat. 2;ZCDG2;master@mvdiscovery.com; +47 51407488 or 44 779 370 265;212
Fram ;Hurtigruten ASA;Cat. 2;LADA-7;master.fr@hurtigruten.com / expedition.leader.fr@hurtigruten.com;+47 51 40 64 40;213
Grigoriy Mikheev;Oceanwide Expeditions;Cat. 1;UCRE;gmikheev@skyfile,com;881 631 414 262;214
Hanseatic;Hapag-Lloyd Kreuzfahrten;Cat. 1;C6KA9;captain@ms-hanseatic.com;763827379;215
Hanse Explorer;Oceanstar;Motor Yacht ;V2PD;hans-sky@skyfile.com;870764640262 and 881631814717;216
Kapitan Khlebnikov;Quark Expeditions;Cat. 1;UGSE;klbel@quarkatsea.com (Master) klbhm@quarkatsea.com (Hotel Manager)  klbel@quarkatsea.com (Expedition Leader);+ 870 76 111 8092 and +870761118093;217
MY Laurel;High Latitudes;Motor Yacht;ZCOV6;captain@mylaurel.net  /  chiefofficer@mylaurel.net ;Sat B: 871 764 552 829  Sat M:871 764 589 124;218
MY Itasca;High Latitudes;Motor Yacht;ZGHI;Dale@myitasca.com;Sat-B voice: (+874) 331 939 310  F-77 voice: (+874) 764 042 391  Iridium voice: (+881) 631 417 310;219
Le Diamant;Compagnie Des Iles Du Ponant;Cat. 1;FMAQ86;cdt.lediamant@skyfile.com - Password : FMAQ86;00 870 763 971 823 or 824 or 827, 00870763973722  ;220
Lyubov Orlova;Quark Expeditions;Cat. 1;9HDU5;lyubovmm@skyfile.com (Master)  orlhm@quarkatsea.com (Hotel Manager)  orlhma@quarkatsea.com (Asst. Hotel Manager) orlel@quarkatsea.com (Expedition Leader) ;870 764 812 852;221
Marco Polo;Transocean Tours Touristik GmbH;Cat. 2;C6JZ7;mp-master@globalmaritimegroup.com;001-954 538 4220;222
Marina Svetaeva;Aurora Expeditions;Cat. 1;UFKU;svetaeva@gmn-usa.com;8816 3162 7573 iridium;223
Minerva (as Category 1);Abercrombie and Kent/ All Leisure Group;Cat. 1;C6NP5;master@mvminerva.com (Master)   radio@mvminerva.com (Radio Officer)  shorex@mvminerva.com (Expedition Leader)   staffcapt@mvminerva.com (Staff Captain);870 762 309 128 (radio room)         870 762 309 129 (reception);224
National Geographic Endeavour;Lindblad Expeditions;Cat. 1;C6BE4;explead.endeavour@expeditions.amosconnect.com  captain.endeavour@expeditions.amosconnect.com   chmate.endeavour@expeditions.amosconnect.com;+1 954 518 7418    +881 693 118 790 ;225
National Geographic Explorer;Lindblad Expeditions;Cat. 1;C6WR2;captain.explorer@expeditions.amosconnect.com and explead.explorer@expeditions.amosconnect.com;1 954 672 2722 and 881 631 621 068;226
Ocean Nova;Quark Expeditions;Cat. 1;C6US3;ocnmaster@quarkatsea.com (Master)  ocnhm@quarkatsea.com (Hotel Manager)  ocnel@quarkatsea.com (Expedition Leader) ; + 870 76 467 6841;227
Orion;Orion Expedition Cruises;Cat. 1;C6TE3;orion-captain@tekdirect.net;763830598 or 763920042;228
Polar Pioneer;Aurora Expeditions;Cat. 1;UBST;polarpioneer@gmn-usa.com;761 321 399 iridium 8816 3144 0895;229
Polar Star;Polar Star Expeditions;Cat. 1;8PPK;polarstar@gmn-usa.com;Iridium:881-631-814-759;230
Prince Albert II;Silversea Cruises Ltd.;Cat. 1;C6TA8;paexpeditionldr@silverseacruises.com, pacaptain@silverseacruises.com;870 773180105, 870 773180106 , iridium +881 621412795, 796;231
Professor Molchanov;Oceanwide Expeditions;Cat. 1;UAKA;pmolchanov@skyfile.com;881 621 415 524;232
Professor Multanovskiy;Oceanwide Expeditions;Cat. 1;UCLA;pmultanovskiy@skyfile.com;881 621 415 523;233
Sarsen;Moir Holdings Australia Pty Ltd;Motor Yacht;J8B2964;capsar@seawave.net;881 641 436 054;234
Spirit of Adventure;Saga Shipping Company Ltd;Cat. 2;C6UM6;master@adventurecruising.co.uk;441 303 774 739;235
Spirit of Enderby;Heritage Expeditions;Cat. 1;UBNR;427320564@inmc.eik.com,  ship@heritage-expeditions.co.nz; ;236
Ushuaia;Antarpply Expeditions;Cat. 1;H9KK;capitan.Ushuaia@skyfile.com and expeditionleader.Ushuaia@skyfile.com ;00874-335-491-610 or 611;237
Amsterdam;Holland America Line, Inc;Cruise only;PBAD; ;1-954-538-4292;238
Clipper Pacific;Japan Grace Co., Ltd. / Peaceboat ;Cruise only; ;AMDM-Master@hollandamerica.com; ;239
Crytsal Symphony;Crystal Cruises, Inc.;Cruise only;C6MY5; ;011 (871/2/3/4) 330 916 810;240
Prinsendam;Holland America Line, Inc;Cruise only;PBGH;captain.cs@crystalcruises.com;954-538-4327;241
Star Princess;Princess Cruises;Cruise only;ZCDD6;PRDM_Master@hollandamerica.com;011-970-331-036-110;242
S/V Australis;Ocean Expeditions;Yacht;vkv6796;tpdcapt1@princesscruises.com;881 6 3155 6577;243
S/V Golden Fleece;Golden Fleece Expeditions Ltd.;Yacht;ZDLN1; ;881 631 518 337;244
S/V Kotick;Kotick Charters Ltd.;Yacht;V2YZ8;vkv6796@sailmail.com, auswally@gmn-usa.com, roger@ocean-expeditions.com;881 631 555 796;245
S/V Pelagic;Pelagic Expeditions LTD;Yacht;ZJL 5390; ;881 631 537 586;246
S/V Pelagic Australis;Pelagic Expeditions LTD;Yacht;ZJL 6951;kotick@gmn-usa.com or koticaradec@hotmail.com;881 631 537 585;247
S/V Philos;Ocean Expeditions;Yacht;VJT6358;pelagic@gmn-usa.com;881 631 557 260;248
S/V Santa Maria Australis;Sea & Ice & Mountains Expeditions;Yacht;CB7835;pelagicaust@gmn-usa.com;881 631 557 564;249
S/V Seal;Sterna Corporation;Yacht;WDB 9031;philos@gmn-usa.com;881 631 537 548;250
S/V Spirit of Sydney;Spirit of Sydney Expeditions;Yacht;VNRZ;santamaria@gmn-usa.com;881 631 430 875;251
S/V Tiama;Tiama Research Expedition Charters;Yacht; ;expeditionsail@yahoo.com;881631829511,451290028 sat c, 872762639082 mini-m ;252
S/V Vaïhéré;Latitude Océane;Yacht;OS8477;spiritofsydney@gmn-usa.com;881631557685;253
S/V Xplore;Xplore Expeditions;Yacht;HO-2847;tiama@clear.net.nz;881 641 449 890;254
